buy_now,spot,ladder,hedge
26456318.3347463,25285595.643395424,25060293.415966906,25644696.115294293
26456318.3347463,26786807.330569535,25756309.316245254,26095059.621446528
26456318.3347463,26167084.835955758,26797032.397291586,25909142.87306239
26456318.3347463,24805232.175375663,25158813.14741298,25500587.074888363
26456318.3347463,25481600.36788456,26210536.54253552,25703497.53264103
26456318.3347463,26531154.972219296,27230179.124153446,26018363.913941454
26456318.3347463,25174582.914699443,25439144.18246147,25611392.296685494
26456318.3347463,26022786.96733189,26599819.261065688,25865853.51247523
26456318.3347463,26258837.33067715,26649837.62397154,25936668.62147881
26456318.3347463,25572384.61997829,26209746.47799996,25730732.80826915
26456318.3347463,25280517.26298971,25709860.54464174,25643172.601172578
26456318.3347463,24802025.55267792,26203908.004770104,25499625.08807904
26456318.3347463,25317939.810942255,25287034.361767173,25654399.365558337
26456318.3347463,25316612.496038966,26380096.134741243,25654001.171087354
26456318.3347463,25493026.838860095,24877530.345858272,25706925.473933693
26456318.3347463,25259633.867479928,24702598.391837783,25636907.582519643
26456318.3347463,25455840.176518224,25635052.878231633,25695769.475231133
26456318.3347463,26009200.369295787,26794367.282418985,25861777.5330644
26456318.3347463,27231793.623121828,26990738.449107636,26228555.50921221
26456318.3347463,26360758.14706259,26153638.431312222,25967244.86639444
26456318.3347463,25571677.177789032,25198587.608104594,25730520.575612374
26456318.3347463,27254709.33482898,27080803.756576814,26235430.222724356
26456318.3347463,25901973.80521193,26494803.6428855,25829609.56383924
26456318.3347463,26114592.083971154,25744373.121526532,25893395.04746701
26456318.3347463,25516719.444602095,25833618.021459185,25714033.25565629
26456318.3347463,25873490.682877142,25403600.33793343,25821064.62713881
26456318.3347463,25275523.9766199,26466265.280508295,25641674.615261633
26456318.3347463,25996191.255398437,26858013.818746943,25857874.798895195
26456318.3347463,26425854.50761327,26014524.959880963,25986773.774559647
26456318.3347463,26937067.08344104,25634256.836629234,26140137.547307976
26456318.3347463,25961842.098278724,25897848.889816176,25847570.05175928
26456318.3347463,25843327.527361862,26036073.65473223,25812015.68048422
26456318.3347463,26421549.976446845,27112201.636008218,25985482.415209718
26456318.3347463,25615946.648289632,25986541.533853598,25743801.416762553
26456318.3347463,26867453.67419757,26581815.093863413,26119253.524534933
26456318.3347463,26338017.956037108,27119209.72349409,25960422.809086796
26456318.3347463,27432765.242049344,26492821.489937745,26288846.994890466
26456318.3347463,26121794.41478525,25473272.568034858,25895555.74671124
26456318.3347463,25524836.382192243,25730717.84126984,25716468.336933337
26456318.3347463,25872001.307331607,26096957.332384862,25820617.814475145
26456318.3347463,25571995.03964684,25147351.267768204,25730615.934169717
26456318.3347463,26134175.276420563,25984424.143078297,25899270.00520183
26456318.3347463,27126488.22313153,27356684.537836716,26196963.889215123
26456318.3347463,24572733.010246605,25296275.039934963,25430837.325349644
26456318.3347463,25881767.97181551,25947366.493432023,25823547.813820317
26456318.3347463,26166024.13004495,26513179.788691767,25908824.661289148
26456318.3347463,25910537.158778775,26142296.234325714,25832178.569909297
26456318.3347463,24818264.397721518,25119514.753522076,25504496.74159212
26456318.3347463,25155028.173539706,25670632.56950204,25605525.874337576
26456318.3347463,24442630.983434275,24416801.468580425,25391806.717305943
26456318.3347463,27282299.034922443,26467827.47042588,26243707.132752396
26456318.3347463,24645486.98558129,26338450.676264003,25452663.51795005
26456318.3347463,26531977.64982664,27005626.952577665,26018610.717223655
26456318.3347463,25565703.306711875,25058658.785198074,25728728.41428923
26456318.3347463,25906146.533518355,26087262.39710273,25830861.38233117
26456318.3347463,26376351.1717319,26437739.742007934,25971922.773795232
26456318.3347463,26685588.154611353,26631765.23350863,26064693.868659068
26456318.3347463,27067455.6043415,26655197.69920851,26179254.103578113
26456318.3347463,25531716.7095754,25761103.866050243,25718532.435148284
26456318.3347463,25024910.05079303,25067335.43468767,25566490.43751357
26456318.3347463,26252677.91469032,26138739.179322034,25934820.79668276
26456318.3347463,26360455.612228256,25979841.49838387,25967154.10594414
26456318.3347463,25291072.14602922,26053315.4546212,25646339.06608443
26456318.3347463,25300779.98380419,25249457.14122212,25649251.417416923
26456318.3347463,25409381.59099941,25039485.58052896,25681831.899575487
26456318.3347463,25669292.9288975,25677693.575277973,25759805.300944913
26456318.3347463,26568700.575588807,26465540.761396073,26029627.594952308
26456318.3347463,26419379.39340713,25474794.748099502,25984831.2402978
26456318.3347463,26187145.358079266,25838017.971713606,25915161.029699445
26456318.3347463,26735539.62888378,26662822.76575009,26079679.310940795
26456318.3347463,27370710.927959412,26052038.56508538,26270230.70066349
26456318.3347463,24173139.06981796,24640720.483878933,25310959.14322105
26456318.3347463,25369308.232090432,25631664.07451924,25669809.891902793
26456318.3347463,25206292.999091048,25200416.48929113,25620905.322002977
26456318.3347463,25415898.8524601,24634741.229782015,25683787.078013692
26456318.3347463,25299697.8600372,24644636.36090146,25648926.780286822
26456318.3347463,24420434.737858262,25130237.027141374,25385147.84363314
26456318.3347463,24865462.176440854,24864224.236954734,25518656.07520792
26456318.3347463,26600427.473327547,25371837.80546286,26039145.664273925
26456318.3347463,25593217.427114822,26531333.916090548,25736982.65041011
26456318.3347463,24688948.064149734,25789143.89409572,25465701.841520585
26456318.3347463,25549558.11917483,25687794.88120113,25723884.858028114
26456318.3347463,25431228.92237342,25618458.98149832,25688386.09898769
26456318.3347463,25656724.876515098,25378494.709569637,25756034.88523019
26456318.3347463,24697279.624946192,25283623.851051267,25468201.30975952
26456318.3347463,26034957.371104605,26070659.414480485,25869504.633607045
26456318.3347463,25075212.332385175,25521589.822764847,25581581.121991217
26456318.3347463,26227565.967526402,26205514.970237624,25927287.212533586
26456318.3347463,25468588.49836579,25118489.01904784,25699593.9717854
26456318.3347463,25471349.60853722,25708234.146977838,25700422.304836832
26456318.3347463,25274030.143760066,26292363.512295112,25641226.465403683
26456318.3347463,24853406.50181893,25610090.409661517,25515039.372821342
26456318.3347463,25550532.03404095,26725363.41445862,25724177.032487947
26456318.3347463,24713876.12847463,25510608.55048654,25473180.260818053
26456318.3347463,27161526.949938193,26486811.57223687,26207475.50725712
26456318.3347463,25541889.410199292,25994822.752564367,25721584.245335452
26456318.3347463,26071664.855882186,25284183.864659943,25880516.87904032
26456318.3347463,25489670.716897663,26019714.53132062,25705918.637344964
26456318.3347463,26364676.077697072,25573053.51152653,25968420.245584786
26456318.3347463,25991431.356678687,24915643.835978657,25856446.82927927
26456318.3347463,26027068.148955643,26532624.592282094,25867137.86696236
26456318.3347463,25618788.94354228,25581026.105633322,25744654.105338346
26456318.3347463,25562116.272271663,25992007.49377006,25727652.303957164
26456318.3347463,26124208.85054467,26990414.62616958,25896280.077439062
26456318.3347463,26412701.3720071,25895344.229452446,25982827.833877794
26456318.3347463,26852394.16298981,26230285.41842635,26114735.671172604
26456318.3347463,26787512.02817275,26481401.0830727,26095271.03072749
26456318.3347463,25364443.048318963,25414860.775816686,25668350.336771354
26456318.3347463,25750026.647850126,25644667.2958657,25784025.4166307
26456318.3347463,26336754.179006077,25685056.746771377,25960043.675977487
26456318.3347463,25089082.521062467,25238144.564707,25585742.178594403
26456318.3347463,26017265.361019365,25755751.03027373,25864197.030581474
26456318.3347463,26196192.10613375,26299610.98251749,25917875.054115787
26456318.3347463,26565372.17142123,26743259.853853907,26028629.073702034
26456318.3347463,27797755.771441013,26032050.98654908,26398344.153707966
26456318.3347463,26921976.585663326,27266083.22604599,26135610.397974662
26456318.3347463,25205172.91530583,24756379.69688868,25620569.296867415
26456318.3347463,25096941.631689038,25597299.845659617,25588099.911782376
26456318.3347463,26464787.006483555,26082173.210842937,25998453.524220727
26456318.3347463,25261869.350216135,26083993.955554157,25637578.227340505
26456318.3347463,25811160.95277068,26066715.831757993,25802365.708106868
26456318.3347463,24619447.654728882,25410564.21179063,25444851.71869433
26456318.3347463,24431043.26655593,25597530.2611375,25388330.402242444
26456318.3347463,25541309.57791759,25071315.948800445,25721410.29565094
26456318.3347463,25789844.354084767,25794442.53643148,25795970.728501093
26456318.3347463,25137334.847166877,25326351.275878802,25600217.87642573
26456318.3347463,25657469.381930463,25585341.983693734,25756258.236854803
26456318.3347463,26212000.742314383,27168088.562515598,25922617.644969977
26456318.3347463,27026288.558349743,26147779.32926848,26166903.98978059
26456318.3347463,26012531.699292608,26546413.0785171,25862776.932063445
26456318.3347463,25472939.025376774,26417324.705044888,25700899.1298887
26456318.3347463,25162742.185869403,24447982.828811206,25607840.078036483
26456318.3347463,25836130.108291365,26362472.148014583,25809856.454763073
26456318.3347463,26406401.457280926,25856280.463057984,25980937.85945994
26456318.3347463,25424415.458397686,26795796.580810748,25686342.05979497
26456318.3347463,25417454.26363795,25060736.07427746,25684253.70136705
26456318.3347463,26658492.034903947,26307427.972284738,26056565.032746848
26456318.3347463,26624840.766446732,26087706.682561185,26046469.652209684
26456318.3347463,25236216.98099539,25146539.794104554,25629882.51657428
26456318.3347463,26074458.17952432,26236911.320241343,25881354.87613296
26456318.3347463,24907206.112407967,24039125.73442543,25531179.255998053
26456318.3347463,25680995.999085307,26626350.75413129,25763316.222001255
26456318.3347463,25372309.8945151,25330479.40620164,25670710.390630193
26456318.3347463,25624191.575596184,25743118.183247384,25746274.894954517
26456318.3347463,26451575.61781516,25548427.691676546,25994490.107620213
26456318.3347463,26334991.443493355,26804818.316563822,25959514.855323672
26456318.3347463,25156123.270785637,24896270.957220852,25605854.403511353
26456318.3347463,26469886.720729664,26281218.36009428,25999983.438494563
26456318.3347463,25247500.802115776,25040176.88174946,25633267.662910394
26456318.3347463,25223628.640107207,25344866.089859843,25626106.014307827
26456318.3347463,25597727.046693735,24981895.16144872,25738335.536283784
26456318.3347463,24873747.775972664,24894516.627965767,25521141.755067464
26456318.3347463,26331080.332174055,25404520.897666637,25958341.521927882
26456318.3347463,27312951.402099952,26489041.49176344,26252902.842905648
26456318.3347463,27214430.677070566,26020138.044446908,26223346.625396833
26456318.3347463,26584709.088956818,26433781.71787311,26034430.14896271
26456318.3347463,27030871.129189953,26993026.55677402,26168278.761032652
26456318.3347463,26326445.74588771,26356720.973583777,25956951.14604198
26456318.3347463,25430739.274707057,25334563.236091588,25688239.20468778
26456318.3347463,25076624.823512744,24316151.619431093,25582004.869329486
26456318.3347463,25672824.719279867,26776948.93545562,25760864.838059623
26456318.3347463,24878333.032877926,25983415.529214088,25522517.33213904
26456318.3347463,25912766.784287393,26250040.458085462,25832847.45756188
26456318.3347463,25042908.860701773,25180732.061431613,25571890.080486193
26456318.3347463,25382526.39519909,26203859.706502467,25673775.340835392
26456318.3347463,26734865.13866144,25519899.024679027,26079476.963874094
26456318.3347463,26277876.42382621,26238743.428160265,25942380.349423528
26456318.3347463,25561076.096934423,25559173.040643528,25727340.25135599
26456318.3347463,24175483.521166593,25426947.813571204,25311662.47862564
26456318.3347463,26155561.428776007,26491309.059386656,25905685.850908466
26456318.3347463,26039811.682621963,26918572.241347298,25870960.92706225
26456318.3347463,25930078.519676395,27063280.767693568,25838040.978178583
26456318.3347463,25366933.20459722,25464618.238464963,25669097.38365483
26456318.3347463,25531703.668098927,25692590.770225238,25718528.522705343
26456318.3347463,26714548.20733089,26371918.960117977,26073381.88447493
26456318.3347463,25957988.31120973,25759712.436539903,25846413.91563858
26456318.3347463,25871391.343414254,24879687.63926416,25820434.82529994
26456318.3347463,26037828.635986283,26563886.029960565,25870366.013071552
26456318.3347463,26720460.956257828,26037162.9579322,26075155.70915301
26456318.3347463,25506067.91648401,26329218.913160253,25710837.797220867
26456318.3347463,26873571.57500235,26574673.955521096,26121088.89477637
26456318.3347463,24655357.78066457,25052983.72765078,25455624.756475035
26456318.3347463,25646542.185540773,25459036.74151616,25752980.077937894
26456318.3347463,24747063.172461815,25915474.714965675,25483136.374014206
26456318.3347463,25744389.639729798,25634699.840739068,25782334.314194605
26456318.3347463,26726995.82246778,25846140.147610813,26077116.169015996
26456318.3347463,27891546.929122277,26812582.288866706,26426481.501012348
26456318.3347463,25019397.791224305,25823766.614882156,25564836.759642955
26456318.3347463,25686992.85377421,25223876.52144794,25765115.278407928
26456318.3347463,26708259.141140476,26154690.839586288,26071495.164617807
26456318.3347463,26642791.74128217,26968155.196309216,26051854.944660313
26456318.3347463,27076405.530703146,26856537.67168904,26181939.081486605
26456318.3347463,26662773.585837096,26547265.15501263,26057849.498026792
26456318.3347463,25038602.71390788,25868071.444126055,25570598.236448027
26456318.3347463,26046463.159705024,25886721.04293439,25872956.37018717
26456318.3347463,26689488.198438063,27321148.5725433,26065863.88180708
26456318.3347463,27223816.628668718,26403006.065260112,26226162.410876278
26456318.3347463,25992799.953179706,25853224.681907162,25856857.408229575
26456318.3347463,25430481.383073576,25726292.390901197,25688161.837197736
26456318.3347463,25090356.369240552,26268529.55115036,25586124.33304783
26456318.3347463,23367414.591132734,24639221.00708762,25069241.799615484
26456318.3347463,24183777.389022987,24261259.46331816,25314150.638982557
26456318.3347463,25195277.65026693,25589803.078234907,25617600.717355743
26456318.3347463,25955681.317355275,25869275.703703664,25845721.817482248
26456318.3347463,24731012.986526813,24995190.794263277,25478321.318233706
26456318.3347463,24862479.321456883,25229231.030847482,25517761.21871273
26456318.3347463,25577949.620161988,25861467.399071794,25732402.308324262
26456318.3347463,25759899.305762116,25648144.331559602,25786987.2140043
26456318.3347463,25430639.056688648,26015729.50962204,25688209.139282256
26456318.3347463,25269372.044523947,24765474.521439526,25639829.03563285
26456318.3347463,25742670.138011314,26568556.386238206,25781818.46367906
26456318.3347463,26372714.37720631,26318744.65538474,25970831.735437557
26456318.3347463,27058123.65401098,25609996.760955006,26176454.51847896
26456318.3347463,25481331.64715952,26182274.79495857,25703416.916423522
26456318.3347463,25247717.33298436,26357019.222685188,25633332.62217097
26456318.3347463,25852613.744806413,26282305.917318616,25814801.54571759
26456318.3347463,25259134.626009516,25990007.0062639,25636757.810078517
26456318.3347463,26818811.877560925,25847851.761479147,26104660.985543944
26456318.3347463,26409958.635578394,26302196.596549448,25982005.012949184
26456318.3347463,24907517.793887615,24737851.804724745,25531272.760441948
26456318.3347463,24780530.631530166,25352996.792585686,25493176.611734714
26456318.3347463,25308705.186049405,25992871.298261534,25651628.978090487
26456318.3347463,27560116.44702556,27309172.147706393,26327052.35638333
26456318.3347463,27205519.614939068,26261268.975831393,26220673.306757383
26456318.3347463,25672450.119871236,25520831.113017343,25760752.458237037
26456318.3347463,26406307.544193625,26397052.473460134,25980909.685533755
26456318.3347463,26130143.583190072,25341972.691973,25898060.497232683
26456318.3347463,25439393.54618167,25080936.32913708,25690835.486130163
26456318.3347463,25189853.052719783,25438393.520176757,25615973.338091597
26456318.3347463,25710430.736943446,25226195.47480779,25772146.6433587
26456318.3347463,24550771.115785174,25708442.847437322,25424248.757011216
26456318.3347463,26645250.64758874,26173559.499613848,26052592.616552286
26456318.3347463,26948012.326363374,26724838.365140975,26143421.120184675
26456318.3347463,24652397.640232537,25309134.745894134,25454736.714345425
26456318.3347463,25722764.633272715,25355291.055158183,25775846.812257476
26456318.3347463,25388037.95228475,25762477.374183334,25675428.807961088
26456318.3347463,26352289.709469125,25126971.689676866,25964704.3351164
26456318.3347463,25263858.120265223,25528286.50081583,25638174.85835523
26456318.3347463,26181775.346721638,25784201.56766325,25913550.026292156
26456318.3347463,24276907.690066803,25252603.379356418,25342089.729295705
26456318.3347463,25501840.7116338,24998461.268317875,25709569.635765806
26456318.3347463,25800957.033624165,25769440.589463525,25799304.53236291
26456318.3347463,25250875.12419617,24585962.937859744,25634279.959534515
26456318.3347463,25154334.330727145,25167134.70114796,25605317.721493807
26456318.3347463,26856805.7858834,26425824.00102881,26116059.158040684
26456318.3347463,25165069.7212518,24918813.016470116,25608538.338651203
26456318.3347463,25886062.223628044,26835476.202715583,25824836.089364074
26456318.3347463,26601903.64173673,25496469.207097366,26039588.51479668
26456318.3347463,24438215.91600082,25772162.016836636,25390482.19707591
26456318.3347463,24927546.490335666,26108666.133658707,25537281.369376365
26456318.3347463,25967995.744328074,25607355.123518035,25849416.145574085
26456318.3347463,26522807.76024787,25005505.543305837,26015859.75035003
26456318.3347463,23678405.703369685,24437769.172768597,25162539.13328657
26456318.3347463,26193792.533784468,27490079.602937102,25917155.182411004
26456318.3347463,26773897.285174333,26042545.197274756,26091186.60782796
26456318.3347463,26675784.55850761,26555497.35067817,26061752.789827947
26456318.3347463,26424002.15776087,26784707.52103887,25986218.069603927
26456318.3347463,26415121.820544925,26840524.536764544,25983553.96843914
26456318.3347463,25740276.94722004,25353960.24880561,25781100.506441675
26456318.3347463,25607517.1699832,25520944.116389316,25741272.573270623
26456318.3347463,23638336.95837748,25339622.55131686,25150518.509788908
26456318.3347463,24990659.74321185,24701582.7365763,25556215.34523922
26456318.3347463,26501013.94455746,26964632.33046117,26009321.6056429
26456318.3347463,25705601.808153458,25736368.917702243,25770697.964721702
26456318.3347463,26142834.4099115,26680182.750160307,25901867.745249115
26456318.3347463,25051603.404521987,25701442.15933255,25574498.44363226
26456318.3347463,25488678.070989657,25947769.382261857,25705620.84357256
26456318.3347463,26213421.657333657,26121686.58433711,25923043.91947576
26456318.3347463,26449151.486587025,26989148.915305395,25993762.86825177
26456318.3347463,25131460.849739492,26132093.078821443,25598455.67719751
26456318.3347463,26848636.956247274,26557350.29216222,26113608.509149846
26456318.3347463,25596783.071194224,25950614.35404593,25738052.34363393
26456318.3347463,26253932.827088974,25605430.676524438,25935197.270402357
26456318.3347463,25629219.683111444,25705345.463480107,25747783.3272091
26456318.3347463,25016938.868890345,25290547.427329253,25564099.08294277
26456318.3347463,26514070.15659892,26630228.714619994,26013238.46925534
26456318.3347463,25472222.022961132,24393621.142929927,25700684.029164
26456318.3347463,27245513.286446568,27150282.60966541,26232671.408209633
26456318.3347463,26577752.881686322,25549957.779527124,26032343.28678156
26456318.3347463,24991336.434550624,25478347.03239525,25556418.352640852
26456318.3347463,24586416.66041666,25734203.292058494,25434942.42040066
26456318.3347463,27006152.688745018,26515419.011035345,26160863.228899166
26456318.3347463,25945867.9577072,25985809.274598952,25842777.80958782
