Month,Year,Steel_Price_Index_(1982=100)
Sep,2025,377.94740478208996
Oct,2025,374.7840811065454
Nov,2025,373.9086824042142
Dec,2025,373.3002319002423
Jan,2026,371.1568796584834
Feb,2026,370.67265111695895
Mar,2026,370.7678578749556
Apr,2026,369.2838312821934
May,2026,368.9079773217556
Jun,2026,369.36145789644434
Jul,2026,368.3412967087825
Aug,2026,367.9515532540113
